站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0E730,頭份,署屬自動站,26,120.912206,24.688247,苗栗縣,頭份市中正路219號(苗栗縣頭份鎮頭份國小校園內),2007-12-01,,,,
C0E740,造橋,署屬自動站,27,120.864778,24.637056,苗栗縣,造橋鄉造橋村14鄰3號(造橋國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0E750,苗栗,署屬自動站,62,120.824575,24.564569,苗栗縣,苗栗市中正路241號(建功國小),2011-11-01,,,,
C0E780,銅鑼,署屬自動站,160,120.790853,24.489681,苗栗縣,銅鑼鄉福興村文化街1號(銅鑼國小),2011-11-01,,,,
C0E791,卓蘭,署屬自動站,366,120.8244,24.3126,苗栗縣,卓蘭鎮中山路125-1號(卓蘭鎮圖書館樓頂),2022-09-21,,原(C0E790)站因移位，於2022/9/21變更為(C0E791)站。,C0E790,
C0E810,西湖,署屬自動站,53,120.7485,24.562947,苗栗縣,西湖鄉二湖村2鄰22號(僑文國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0E820,獅潭,署屬自動站,220,120.920042,24.539133,苗栗縣,獅潭鄉新店村11鄰103-2號(獅潭鄉公所圖書館樓頂),2011-12-01,,,,
C0E830,苑裡,署屬自動站,37,120.653053,24.439714,苗栗縣,苑裡鎮信義路1號(苑裡鎮公所),2013-12-01,,於2024/01/08完成儀器汰換,,
C0E850,大河,署屬自動站,104,120.948578,24.618069,苗栗縣,三灣鄉大河村48號(大河派出所),2015-08-04,,,,
C0E870,高鐵苗栗,署屬自動站,34,120.826094,24.60725,苗栗縣,後龍鎮高鐵三路268號(高鐵苗栗站外),2017-08-01,,,,
C0E910,海埔,署屬自動站,25,120.772435,24.648767,苗栗縣,後龍鎮海埔125之15號(外埔安檢所樓頂),2022-03-09,,,,
C0E920,通霄漁港,署屬自動站,20,120.673876,24.498589,苗栗縣,通霄鎮漁港路69號(通霄安檢所樓頂),2022-03-09,,,,
C0E930,龍鳳,署屬自動站,26,120.859125,24.700034,苗栗縣,竹南鎮龍鳳里龍江街359巷5號(龍鳳安檢所樓頂),2022-03-09,,,,
C0E940,雪見,署屬自動站,1881,121.01347,24.42595,苗栗縣,泰安鄉盡尾段15-1地號,2025-04-25,,,,
C0E950,松安,署屬自動站,1328,120.98599,24.39792,苗栗縣,泰安鄉荻岡段39地號,2025-04-25,,,,
C0E960,觀霧分站,署屬自動站,2094,121.113921,24.505781,苗栗縣,泰安鄉觀霧段55-1地號,2025-04-25,,,,
C0F0A0,雪山圈谷,署屬自動站,3587,121.236339,24.388594,臺中市,和平區(往雪山主峰路上9.8公里處右邊),2016-07-15,,,,
